pl_name,pl_rade,pl_masse,pl_radj,pl_massj,st_dist,pl_disc,pl_telescope,pl_eqt
HD 152581 b,,,,,182.82,2011,10 m Keck I Telescope,
HD 153950 b,,,,,51.87,2008,3.6 m ESO Telescope,
HD 154345 b,,,,,18.06,2006,10 m Keck I Telescope,
HD 154672 b,,,,,65.79,2008,6.5 m Magellan II Clay Telescope,
HD 154857 b,,,,,68.54,2004,3.9 m Anglo-Australian Telescope,
HD 154857 c,,,,,68.54,2014,3.9 m Anglo-Australian Telescope,
HD 155233 b,,,,,75.10,2015,3.9 m Anglo-Australian Telescope,
HD 155358 b,,,,,43.40,2007,9.2 m Hobby-Eberly Telescope,
HD 155358 c,,,,,43.40,2007,9.2 m Hobby-Eberly Telescope,
HD 156279 b,,,,,35.37,2011,1.93 m Telescope,
HD 156411 b,,,,,55.10,2009,3.6 m ESO Telescope,
HD 156668 b,,,,,24.05,2010,10 m Keck I Telescope,
HD 156846 b,,,,,49.00,2007,1.2 m Leonhard Euler Telescope,
HD 158038 b,,,,,114.15,2011,10 m Keck I Telescope,
HD 159243 b,,,,,68.59,2013,1.93 m Telescope,
HD 159243 c,,,,,68.59,2013,1.93 m Telescope,
HD 159868 b,,,,,52.72,2006,3.9 m Anglo-Australian Telescope,
HD 159868 c,,,,,52.72,2012,3.9 m Anglo-Australian Telescope,
HD 1605 b,,,,,84.60,2015,Multiple Telescopes,
HD 1605 c,,,,,84.60,2015,Multiple Telescopes,
HD 160691 b,,,,,15.28,2000,3.9 m Anglo-Australian Telescope,
HD 160691 c,,,,,15.28,2004,3.9 m Anglo-Australian Telescope,
HD 160691 d,,,,,15.28,2004,3.6 m ESO Telescope,
HD 160691 e,,,,,15.28,2006,3.6 m ESO Telescope,
HD 16141 b,,,,,35.91,2000,10 m Keck I Telescope,
